#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2014MAUR06,Lorenzo Mauro,3,1,2,6
2,2018ARNE04,Davide Arnesano,3,1,0,4
3,2009DIMP01,Mariano D'Imperio,2,1,2,5
4,2014MARC05,Leonardo Marchizza,2,0,0,2
5,2009TESS01,Giovanni Tessari,1,0,0,1
,2010GAMB01,Gabriele Gambino,1,0,0,1
,2011MONT02,Kevin Montano,1,0,0,1
,2022CHIA12,Ismaele Chiarella,1,0,0,1
9,2015MANN02,Marco Manno,0,3,0,3
10,2012BERE01,Andrea Beretta,0,2,0,2
,2021MAGG02,Matteo Maggiali,0,2,0,2
12,2012NICO02,Alessandro Nicolì,0,1,2,3
13,2010MELC01,Jacopo Melchiorri,0,1,1,2
14,2009LUNA01,Luigi Lunardon,0,1,0,1
,2018CENT02,Giovanni Centili,0,1,0,1
16,2009CONT01,Giovanni Contardi,0,0,1,1
,2009PROV01,Matteo Provasi,0,0,1,1
,2012CAPP01,Gabriele Cappelletti,0,0,1,1
,2015FAVA01,Alessandro Fava,0,0,1,1
,2016LOBI01,Arcangelo Lobianco,0,0,1,1
,2019GIOR02,Marco Giordano,0,0,1,1
,2023NICC01,Flavio Niccoli,0,0,1,1
